masked_sentence	mask_token_str	mapping_type	learnerl1	learnerRawScore	annotationErrorType	incorrect_token	incorrect_token_idx	incorrect_token_length	incorrect_token_pos
In my opinion the better time for [MASK] is weekdays , preferably in the morning .	[MASK]	replacement_correction	Russian	21.0	IV	shoping	7	7	VBG
Now I asked myself if there [MASK] come another problem .	[MASK]	replacement_correction	German	21.0	TV	will	6	4	MD
Now I asked myself if there will [MASK] another problem .	[MASK]	replacement_correction	German	21.0	RV	come	7	4	VB
This is my [MASK] of the Home of the Future and I wish I could live in it .	[MASK]	replacement_correction	Russian	35.00	RN	opinion	3	7	NN
I have asked to write a composition regarding the question [MASK] is believed that shopping is not always enjoyable .	[MASK]	replacement_correction	French	24.0	RP	it	10	2	PRP
Thanks to modern technology , I enjoy chatting with my [MASK] in other countries and my family in Japan almost every day .	[MASK]	replacement_correction	Japanese	31.0	FN	friend	10	6	NN
I want to do surfing too because I like snowboarding and I think surfing [MASK] similar sensations , but I have never practised that sport .	[MASK]	replacement_correction	French	20.0	R	make	14	4	VBP
I want to do surfing too because I like snowboarding and I think surfing make [MASK] sensations , but I have never practised that sport .	[MASK]	replacement_correction	French	20.0	R	similar	15	7	JJ
I want to do surfing too because I like snowboarding and I think surfing make similar [MASK] , but I have never practised that sport .	[MASK]	replacement_correction	French	20.0	R	sensations	16	10	NNS
I want to do surfing too because I like snowboarding and I think surfing make similar sensations , but I have never [MASK] that sport .	[MASK]	replacement_correction	French	20.0	RV	practised	22	9	VBN
I want to do surfing too because I like snowboarding and I think surfing make similar sensations , but I have never practised [MASK] sport .	[MASK]	replacement_correction	French	20.0	R	that	23	4	IN
I want to do surfing too because I like snowboarding and I think surfing make similar sensations , but I have never practised that [MASK] .	[MASK]	replacement_correction	French	20.0	R	sport	24	5	NN
[MASK] second one is just because I 'm fanatic of that sports ( really I 'm not martine hingis ) .	[MASK]	replacement_correction	Spanish	26.0	RP	the	0	3	DT
the second one is just because I 'm [MASK] of that sports ( really I 'm not martine hingis ) .	[MASK]	replacement_correction	Spanish	26.0	RN	fanatic	8	7	JJ
the second one is just because I 'm fanatic of that [MASK] ( really I 'm not martine hingis ) .	[MASK]	replacement_correction	Spanish	26.0	AGN	sports	11	6	NNS
And [MASK] the top of everything your theatre restaurant was closed because of the waiters ' strike , so I had to look for another place to have a snack .	[MASK]	replacement_correction	Russian	30.0	ID	on	1	2	IN
And on [MASK] top of everything your theatre restaurant was closed because of the waiters ' strike , so I had to look for another place to have a snack .	[MASK]	replacement_correction	Russian	30.0	ID	the	2	3	DT
And on the [MASK] of everything your theatre restaurant was closed because of the waiters ' strike , so I had to look for another place to have a snack .	[MASK]	replacement_correction	Russian	30.0	ID	top	3	3	NN
And on the top [MASK] everything your theatre restaurant was closed because of the waiters ' strike , so I had to look for another place to have a snack .	[MASK]	replacement_correction	Russian	30.0	ID	of	4	2	IN
And on the top of [MASK] your theatre restaurant was closed because of the waiters ' strike , so I had to look for another place to have a snack .	[MASK]	replacement_correction	Russian	30.0	ID	everything	5	10	NN
At this [MASK] I promised that I would never do this awful job again .	[MASK]	replacement_correction	German	29.0	RN	time	2	4	NN
For [MASK] , if I do n't have time to do my shopping after school because I have to do my homework , I am going on Internet and ask for what I need .	[MASK]	replacement_correction	French	25.0	S	exemple	1	7	NN
For exemple , if I do n't have time to do my shopping after school because I have to do my homework , I [MASK] going on Internet and ask for what I need .	[MASK]	replacement_correction	French	25.0	TV	am	24	2	VBP
For exemple , if I do n't have time to do my shopping after school because I have to do my homework , I am [MASK] on Internet and ask for what I need .	[MASK]	replacement_correction	French	25.0	TV	going	25	5	VBG
I was very disappointed because I was longing for [MASK] them as a fan .	[MASK]	replacement_correction	Korean	27.0	FV	seeing	9	6	VBG
This is one of a normal scene when a mother and her daughter are [MASK] and getting clothes from the shelves .	[MASK]	replacement_correction	Spanish	24.0	RV	buying	14	6	VBG
[MASK] you understand me ?	[MASK]	replacement_correction	Turkish	17.00	RV	Are	0	3	NNP
All of the students in my class have read through the programmes that you have [MASK] , they are quite interesting , especially the river trip to Greenwich , because some of us may go to the university there next year .	[MASK]	replacement_correction	Chinese	31.00	RV	set	15	3	VBN
All of the students in my class have read through the programmes that you have set [MASK] they are quite interesting , especially the river trip to Greenwich , because some of us may go to the university there next year .	[MASK]	replacement_correction	Chinese	31.00	RP	,	16	1	,
All of the students in my class have read through the programmes that you have set , [MASK] are quite interesting , especially the river trip to Greenwich , because some of us may go to the university there next year .	[MASK]	replacement_correction	Chinese	31.00	RP	they	17	4	PRP
I think [MASK] we can film either the development class or the society class , because in my opinion they are the most interesting classes apart from the FCE class .	[MASK]	replacement_correction	Japanese	38.0	DY	nextly	2	6	RB
Unfortunately , Pat was n't very good at keeping secrets , every time I [MASK] something to her , finally everyone knew about it .	[MASK]	replacement_correction	Spanish	23.0	AS	tell	14	4	VBP
Unfortunately , Pat was n't very good at keeping secrets , every time I tell [MASK] to her , finally everyone knew about it .	[MASK]	replacement_correction	Spanish	23.0	AS	something	15	9	NN
Unfortunately , Pat was n't very good at keeping secrets , every time I tell something [MASK] her , finally everyone knew about it .	[MASK]	replacement_correction	Spanish	23.0	AS	to	16	2	TO
Unfortunately , Pat was n't very good at keeping secrets , every time I tell something to [MASK] , finally everyone knew about it .	[MASK]	replacement_correction	Spanish	23.0	AS	her	17	3	PRP$
Unfortunately , Pat was n't very good at keeping secrets , every time I tell something to her , [MASK] everyone knew about it .	[MASK]	replacement_correction	Spanish	23.0	RY	finally	19	7	RB
Unfortunately , Pat was n't very good at keeping secrets , every time I tell something to her , finally everyone [MASK] about it .	[MASK]	replacement_correction	Spanish	23.0	TV	knew	21	4	VBD
But , I think it 's not only our fault but the evidence of how much they [MASK] in our life .	[MASK]	replacement_correction	Japanese	22.00	TV	integrate	17	9	VBP
But , I think it 's not only our fault but the evidence of how much they integrate [MASK] our life .	[MASK]	replacement_correction	Japanese	22.00	RT	in	18	2	IN
[MASK] first , the research and design courses are exiting since we are studying how cars are built .	[MASK]	replacement_correction	French	27.0	RY	At	0	2	IN
At [MASK] , the research and design courses are exiting since we are studying how cars are built .	[MASK]	replacement_correction	French	27.0	RY	first	1	5	RB
At first , the research and design [MASK] are exiting since we are studying how cars are built .	[MASK]	replacement_correction	French	27.0	RN	courses	7	7	NNS
At first , the research and design courses are [MASK] since we are studying how cars are built .	[MASK]	replacement_correction	French	27.0	SX	exiting	9	7	VBG
At [MASK] we have again rules , but more flexible ones .	[MASK]	replacement_correction	Turkish	33.00	FN	homes	1	5	NNS
At homes we [MASK] again rules , but more flexible ones .	[MASK]	replacement_correction	Turkish	33.00	W	have	3	4	VBP
At homes we have [MASK] rules , but more flexible ones .	[MASK]	replacement_correction	Turkish	33.00	W	again	4	5	RB
Unfortunately , our [MASK] is fixed but I think we could change the part of the programme .	[MASK]	replacement_correction	Japanese	27.00	S	programm	3	8	NN
You 've just finished your long hours at work , you [MASK] , you had row with your boss but you are still going to do shopping .	[MASK]	replacement_correction	Russian	34.0	SX	tide	11	4	VBP
You 've just finished your long hours at work , you tide , you had row with your boss but you are still going to [MASK] shopping .	[MASK]	replacement_correction	Russian	34.0	RV	do	25	2	VB
I ca n't leave it until [MASK] month and I 'm not able to travel at any other time of the year .	[MASK]	replacement_correction	Spanish	32.0	RD	this	6	4	DT
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling [MASK] little and terrible secret to Pat , everithing started going wrong , Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really do n't know what to do , I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	DD	me	27	2	PRP
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , [MASK] started going wrong , Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really do n't know what to do , I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	S	everithing	35	10	VBG
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , everithing started going wrong [MASK] Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really do n't know what to do , I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	RP	,	39	1	,
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , everithing started going wrong , Katrin my friend , and the one I was being bad [MASK] , was very upset with me , and she was right , but I really do n't know what to do , I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	RT	with	51	4	IN
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , everithing started going wrong , Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really [MASK] n't know what to do , I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	TV	do	67	2	VBP
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , everithing started going wrong , Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really do [MASK] know what to do , I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	TV	n't	68	3	RB
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , everithing started going wrong , Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really do n't know what to do [MASK] I was in love with Brett , but I love my friend too .	[MASK]	replacement_correction	Spanish	23.0	RP	,	73	1	,
I was in love with a friend 's boyfriend and we were about to have an affair , but when I made the big mistake of telling me little and terrible secret to Pat , everithing started going wrong , Katrin my friend , and the one I was being bad with , was very upset with me , and she was right , but I really do n't know what to do , I was in love with Brett , but I [MASK] my friend too .	[MASK]	replacement_correction	Spanish	23.0	TV	love	83	4	VBP
I ca n't be concentrate in a shop , [MASK] I ca n't relaxe as well .	[MASK]	replacement_correction	Russian	28.0	RC	but	9	3	CC
I ca n't be concentrate in a shop , but I ca n't [MASK] as well .	[MASK]	replacement_correction	Russian	28.0	S	relaxe	13	6	VB
I ca n't be concentrate in a shop , but I ca n't relaxe [MASK] well .	[MASK]	replacement_correction	Russian	28.0	RY	as	14	2	RB
I ca n't be concentrate in a shop , but I ca n't relaxe as [MASK] .	[MASK]	replacement_correction	Russian	28.0	RY	well	15	4	RB
We thought , as [MASK] we do in London theatre , we could have discounts as it 's written on your advertisement .	[MASK]	replacement_correction	French	25.0	DY	usual	4	5	JJ
We thought , as usual we do in London [MASK] , we could have discounts as it 's written on your advertisement .	[MASK]	replacement_correction	French	25.0	AGN	theatre	9	7	NN
We thought , as usual we do in London theatre , we could [MASK] discounts as it 's written on your advertisement .	[MASK]	replacement_correction	French	25.0	RV	have	13	4	VB
We thought , as usual we do in London theatre , we could have discounts [MASK] it 's written on your advertisement .	[MASK]	replacement_correction	French	25.0	RC	as	15	2	IN
[MASK] , boys are not allowed to have long hire .	[MASK]	replacement_correction	Japanese	26.00	S	Secoundly	0	9	RB
Secoundly , boys are not allowed to have long [MASK] .	[MASK]	replacement_correction	Japanese	26.00	RN	hire	9	4	NN
Each time , when she [MASK] back to the room , she asked for something to drink , just a diet coke , because she 's always looking after her weight .	[MASK]	replacement_correction	Spanish	29.0	TV	comes	5	5	VBZ
Each time , when she comes back to the room , she asked for something to drink , just a diet coke , because she 's always looking after her [MASK] .	[MASK]	replacement_correction	Spanish	29.0	RN	weight	30	6	NN
Excuse me Kim , but I 'm so nervous that I [MASK] n't be able to write oben this letter yet .	[MASK]	replacement_correction	Italian	25.0	S	ob	11	2	VBP
Excuse me Kim , but I 'm so nervous that I ob [MASK] be able to write oben this letter yet .	[MASK]	replacement_correction	Italian	25.0	S	n't	12	3	RB
Excuse me Kim , but I 'm so nervous that I ob n't be able to write [MASK] this letter yet .	[MASK]	replacement_correction	Italian	25.0	S	oben	17	4	RP
But I did not know it , and I told her my secret : I [MASK] fell in love with Paul a friend of us .	[MASK]	replacement_correction	Spanish	23.0	TV	have	15	4	VBP
But I did not know it , and I told her my secret : I have [MASK] in love with Paul a friend of us .	[MASK]	replacement_correction	Spanish	23.0	TV	fell	16	4	VBD
But I did not know it , and I told her my secret : I have fell in love with Paul a friend of [MASK] .	[MASK]	replacement_correction	Spanish	23.0	RA	us	24	2	PRP
I [MASK] you are fine .	[MASK]	replacement_correction	Korean	30.0	RV	wish	1	4	VBP
I was pleased to [MASK] you letter ricently .	[MASK]	replacement_correction	Russian	21.0	S	recieve	4	7	VB
I was pleased to recieve [MASK] letter ricently .	[MASK]	replacement_correction	Russian	21.0	DD	you	5	3	PRP
I was pleased to recieve you letter [MASK] .	[MASK]	replacement_correction	Russian	21.0	S	ricently	7	8	RB
When our final day arrived , we went [MASK] in the morning and then we went to the hotel to change our clothes and get ready for the show .	[MASK]	replacement_correction	Spanish	32.0	IV	shoping	8	7	VBG
I think many people , [MASK] women , had same experience .	[MASK]	replacement_correction	Japanese	29.0	RY	specially	5	9	RB
I think many people , specially women , [MASK] same experience .	[MASK]	replacement_correction	Japanese	29.0	TV	had	8	3	VBD
I do n't have any [MASK] .	[MASK]	replacement_correction	French	23.0	RN	material	5	8	NN
For example , if you were hurt seriously like cutting leg , the new medical technology could [MASK] part of your body .	[MASK]	replacement_correction	Korean	23.0	FV	rebuilit	17	8	VB
A log cabin does n't sound like a [MASK] holiday .	[MASK]	replacement_correction	German	31.0	RN	camp	8	4	NN
Because most students have never been to London before [MASK] also we could visit some famous places which we wanted to go .	[MASK]	replacement_correction	Japanese	24.00	RP	,	9	1	,
Because most students have never been to London before , [MASK] we could visit some famous places which we wanted to go .	[MASK]	replacement_correction	Japanese	24.00	RP	also	10	4	RB
Because most students have never been to London before , also we [MASK] visit some famous places which we wanted to go .	[MASK]	replacement_correction	Japanese	24.00	TV	could	12	5	MD
Because most students have never been to London before , also we could visit some famous places which we [MASK] to go .	[MASK]	replacement_correction	Japanese	24.00	TV	wanted	19	6	VBD
People are used to [MASK] to the shopping because it is easier and familiare , it is one place where you can have lunch or dinner , watch some movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	FV	go	4	2	VB
People are used to go to the [MASK] because it is easier and familiare , it is one place where you can have lunch or dinner , watch some movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	RN	shopping	7	8	NN
People are used to go to the shopping because it is [MASK] and familiare , it is one place where you can have lunch or dinner , watch some movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	FJ	easier	11	6	JJR
People are used to go to the shopping because it is easier and [MASK] , it is one place where you can have lunch or dinner , watch some movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	S	familiare	13	9	NN
People are used to go to the shopping because it is easier and familiare [MASK] it is one place where you can have lunch or dinner , watch some movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	RP	,	14	1	,
People are used to go to the shopping because it is easier and familiare , [MASK] is one place where you can have lunch or dinner , watch some movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	RP	it	15	2	PRP
People are used to go to the shopping because it is easier and familiare , it is one place where you can have lunch or dinner , watch [MASK] movie after that , and if you want buy something at the shops .	[MASK]	replacement_correction	Portuguese	27.0	R	some	28	4	DT
It 's good to walk around looking all the [MASK] in the stores .	[MASK]	replacement_correction	Portuguese	33.0	RN	news	9	4	NN
I have already read the programme , and I [MASK] with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RV	agree	9	5	VBP
I have already read the programme , and I agree [MASK] that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RV	with	10	4	IN
I have already read the programme , and I agree with [MASK] , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RA	that	11	4	DT
I have already read the programme , and I agree with that , I think that the class will like going to [MASK] by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RP	Sightseeing	22	11	NNP
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going [MASK] River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RT	to	30	2	TO
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to [MASK] trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RP	River	31	5	VB
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich [MASK] Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RP	,	35	1	,
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can [MASK] to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	FV	going	47	5	VBG
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping [MASK] on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RP	,	51	1	,
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , [MASK] Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RP	on	52	2	IN
I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit [MASK] National Art Gallery , really , I think that is good programme .	[MASK]	replacement_correction	Spanish	23.00	RP	The	60	3	DT
The worst [MASK] was that the actor and actress were not the person who had been written in the advertisement , because of that I was extremely disappointed .	[MASK]	replacement_correction	Korean	26.0	R	one	2	3	NN
The worst one was that the actor and actress were not the [MASK] who had been written in the advertisement , because of that I was extremely disappointed .	[MASK]	replacement_correction	Korean	26.0	AGN	person	12	6	NN
When we arrived she persuaded me to go the backstage because her boyfriend was the [MASK] of the band .	[MASK]	replacement_correction	Italian	35.0	W	electrician	15	11	NN
When we arrived she persuaded me to go the backstage because her boyfriend was the electrician [MASK] the band .	[MASK]	replacement_correction	Italian	35.0	W	of	16	2	IN
When we arrived she persuaded me to go the backstage because her boyfriend was the electrician of [MASK] band .	[MASK]	replacement_correction	Italian	35.0	W	the	17	3	DT
When we arrived she persuaded me to go the backstage because her boyfriend was the electrician of the [MASK] .	[MASK]	replacement_correction	Italian	35.0	W	band	18	4	NN
I would like to choose surfing [MASK] my second activities .	[MASK]	replacement_correction	Russian	25.0	RT	like	6	4	IN
I would like to choose surfing like my second [MASK] .	[MASK]	replacement_correction	Russian	25.0	AGN	activities	9	10	NNS
If we want [MASK] something , we can do it at night same as day .	[MASK]	replacement_correction	Korean	25.00	FV	do	3	2	VB
Unfortunately , the next evening , one hour before the beginning of the show , we learnt that actors [MASK] been changed at the last minute .	[MASK]	replacement_correction	French	17.0	TV	have	19	4	VBP
I 'm sure you 'll enjoy it and maybe [MASK] familier with our culture .	[MASK]	replacement_correction	Japanese	22.00	RV	get	9	3	VB
I 'm sure you 'll enjoy it and maybe get [MASK] with our culture .	[MASK]	replacement_correction	Japanese	22.00	S	familier	10	8	JJR
[MASK] the last one hundred years science and technology did big step if we looking to back .	[MASK]	replacement_correction	Russian	18.0	RT	For	0	3	IN
For the last one hundred years science and technology [MASK] big step if we looking to back .	[MASK]	replacement_correction	Russian	18.0	RV	did	9	3	VBD
For the last one hundred years science and technology did big step if we [MASK] to back .	[MASK]	replacement_correction	Russian	18.0	FV	looking	14	7	VBG
We do not need to [MASK] fire in order to cook as in the old days .	[MASK]	replacement_correction	Portuguese	30.0	FV	lit	5	3	VB
I want you to know [MASK] extraordinary moments I passed with my friends in the festival .	[MASK]	replacement_correction	Spanish	20.00	RQ	how	5	3	WRB
I want you to know how extraordinary [MASK] I passed with my friends in the festival .	[MASK]	replacement_correction	Spanish	20.00	RN	moments	7	7	NNS
I want you to know how extraordinary moments I [MASK] with my friends in the festival .	[MASK]	replacement_correction	Spanish	20.00	RV	passed	9	6	VBD
I want you to know how extraordinary moments I passed with my friends [MASK] the festival .	[MASK]	replacement_correction	Spanish	20.00	RT	in	13	2	IN
Then , surfing [MASK] internet is becoming my passion : it 's incredible how many unthinkable activities you can do with it .	[MASK]	replacement_correction	Italian	30.0	RT	in	3	2	IN
Then , surfing in [MASK] is becoming my passion : it 's incredible how many unthinkable activities you can do with it .	[MASK]	replacement_correction	Italian	30.0	RP	internet	4	8	NN
Well , unless there [MASK] n't anything wrong with the power supply .	[MASK]	replacement_correction	Japanese	34.00	X	was	4	3	VBD
Well , unless there was [MASK] anything wrong with the power supply .	[MASK]	replacement_correction	Japanese	34.00	X	n't	5	3	RB
Well , unless there was n't [MASK] wrong with the power supply .	[MASK]	replacement_correction	Japanese	34.00	RA	anything	6	8	NN
[MASK] people who could live without it , must be extremely weird or somebody in a very difficult situation !	[MASK]	replacement_correction	Japanese	34.00	MD	Only	0	4	RB
Only people who could live without [MASK] , must be extremely weird or somebody in a very difficult situation !	[MASK]	replacement_correction	Japanese	34.00	RA	it	6	2	PRP
Only people who could live without it , [MASK] be extremely weird or somebody in a very difficult situation !	[MASK]	replacement_correction	Japanese	34.00	RV	must	8	4	MD
I was in charge of the [MASK] of the stage , you know , all those colourful lights that go all around the stage .	[MASK]	replacement_correction	Spanish	33.0	W	lights	6	6	NNS
I was in charge of the lights [MASK] the stage , you know , all those colourful lights that go all around the stage .	[MASK]	replacement_correction	Spanish	33.0	W	of	7	2	IN
I was in charge of the lights of [MASK] stage , you know , all those colourful lights that go all around the stage .	[MASK]	replacement_correction	Spanish	33.0	W	the	8	3	DT
I was in charge of the lights of the [MASK] , you know , all those colourful lights that go all around the stage .	[MASK]	replacement_correction	Spanish	33.0	W	stage	9	5	NN
With the help of my home computer I can do all [MASK] , about money , with my bank .	[MASK]	replacement_correction	German	21.0	AGN	thing	11	5	NN
With the help of my home computer I can do all thing , [MASK] money , with my bank .	[MASK]	replacement_correction	German	21.0	RT	about	13	5	IN
I 'd just like to know if the tents at the camp are [MASK] on sharing and how many people is there in one tent .	[MASK]	replacement_correction	Russian	37.0	R	based	13	5	VBN
I 'd just like to know if the tents at the camp are based [MASK] sharing and how many people is there in one tent .	[MASK]	replacement_correction	Russian	37.0	R	on	14	2	IN
I 'd just like to know if the tents at the camp are based on [MASK] and how many people is there in one tent .	[MASK]	replacement_correction	Russian	37.0	R	sharing	15	7	VBG
I 'd just like to know if the tents at the camp are based on sharing and how many people [MASK] there in one tent .	[MASK]	replacement_correction	Russian	37.0	AGV	is	20	2	VBZ
They [MASK] were asked to wear clothes which was in accordance with the occasion .	[MASK]	replacement_correction	Japanese	31.0	W	also	1	4	RB
They also [MASK] asked to wear clothes which was in accordance with the occasion .	[MASK]	replacement_correction	Japanese	31.0	W	were	2	4	VBD
They also were asked to wear clothes which [MASK] in accordance with the occasion .	[MASK]	replacement_correction	Japanese	31.0	AGV	was	8	3	VBD
We had a class discussion about shopping , [MASK] it I 'm writing to tell about my opinion .	[MASK]	replacement_correction	Portuguese	28.0	RT	for	8	3	IN
We had a class discussion about shopping , for it I 'm writing to [MASK] about my opinion .	[MASK]	replacement_correction	Portuguese	28.0	RV	tell	14	4	VB
Hoping that I [MASK] not offend you in any ways and that you might take in consideration my suggestion , I wish you all the best for next year 's festival organisation .	[MASK]	replacement_correction	French	26.00	TV	did	3	3	VBD
Hoping that I did [MASK] offend you in any ways and that you might take in consideration my suggestion , I wish you all the best for next year 's festival organisation .	[MASK]	replacement_correction	French	26.00	TV	not	4	3	RB
Hoping that I did not [MASK] you in any ways and that you might take in consideration my suggestion , I wish you all the best for next year 's festival organisation .	[MASK]	replacement_correction	French	26.00	TV	offend	5	6	VB
Hoping that I did not offend you in any [MASK] and that you might take in consideration my suggestion , I wish you all the best for next year 's festival organisation .	[MASK]	replacement_correction	French	26.00	FN	ways	9	4	NNS
Hoping that I did not offend you in any ways and that you might take [MASK] consideration my suggestion , I wish you all the best for next year 's festival organisation .	[MASK]	replacement_correction	French	26.00	RT	in	15	2	IN
Hoping that I did not offend you in any ways and that you might take in consideration my [MASK] , I wish you all the best for next year 's festival organisation .	[MASK]	replacement_correction	French	26.00	FN	suggestion	18	10	NN
I would like [MASK] guitar like him .	[MASK]	replacement_correction	French	32.0	FV	playing	3	7	VBG
My [MASK] were for singers , so I could meet singers and talk together .	[MASK]	replacement_correction	Korean	24.0	RN	works	1	5	NNS
My works [MASK] for singers , so I could meet singers and talk together .	[MASK]	replacement_correction	Korean	24.0	AGV	were	2	4	VBD
My works were for singers , so I could meet singers and talk [MASK] .	[MASK]	replacement_correction	Korean	24.0	R	together	13	8	RB
Shopping is enjoyable when you want to [MASK] some thing to someone .	[MASK]	replacement_correction	French	26.0	RV	offer	7	5	VB
Shopping is enjoyable when you want to offer [MASK] thing to someone .	[MASK]	replacement_correction	French	26.0	RP	some	8	4	DT
Shopping is enjoyable when you want to offer some [MASK] to someone .	[MASK]	replacement_correction	French	26.0	RP	thing	9	5	NN
It 's hard to be extremely [MASK] for five hours but I reckon it 's a good way of education .	[MASK]	replacement_correction	Italian	33.00	SX	quite	6	5	RB
It 's hard to be extremely quite for five hours but I reckon it 's a good [MASK] of education .	[MASK]	replacement_correction	Italian	33.00	RN	way	17	3	NN
Our school is really very [MASK] , especially about our clothes and behaviours .	[MASK]	replacement_correction	Turkish	31.00	S	diciplined	5	10	JJ
Our school is really very diciplined , especially about our clothes and [MASK] .	[MASK]	replacement_correction	Turkish	31.00	FN	behaviours	12	10	NNS
So I am sure you will understand why I so annoyed and frustrated with the whole [MASK] .	[MASK]	replacement_correction	Russian	30.0	S	incindent	16	9	NN
My friends told me that if we wake up early on [MASK] we can go to Science Museum about 8.00 in the morning .	[MASK]	replacement_correction	Turkish	25.00	RP	tuesday	11	7	IN
The clothes will be more comfortable but less [MASK] .	[MASK]	replacement_correction	Japanese	27.0	DJ	decorations	8	11	NNS
But the thing which [MASK] 've never expected is Pat betrayed me .	[MASK]	replacement_correction	Chinese	21.0	TV	I	4	1	PRP
But the thing which I [MASK] never expected is Pat betrayed me .	[MASK]	replacement_correction	Chinese	21.0	TV	've	5	3	VBP
But the thing which I 've never expected [MASK] Pat betrayed me .	[MASK]	replacement_correction	Chinese	21.0	M	is	8	2	VBZ
Anyway we can go to the Science Museum on Wednesday afternoon because we have [MASK] free time .	[MASK]	replacement_correction	Russian	25.00	CQ	a	14	1	DT
Everything in this room is [MASK] wine .	[MASK]	replacement_correction	French	34.00	RT	about	5	5	IN
[MASK] teach pupils is not easy , of course .	[MASK]	replacement_correction	Turkish	25.00	FV	To	0	2	TO
To [MASK] pupils is not easy , of course .	[MASK]	replacement_correction	Turkish	25.00	FV	teach	1	5	VB
